odds_id,race_id,driver_id,snapshot,decimal_odds,overround,implied_prob
2018_AUS_RED BU_VER_PRE,2018_AUS_RED BU,VER,pre,19.4262,1.1099,0.051477
2018_AUS_RED BU_VER_POST,2018_AUS_RED BU,VER,post_quali,18.7017,1.0437,0.053471
2018_AUS_RED BU_PER_PRE,2018_AUS_RED BU,PER,pre,15.4242,1.1099,0.064833
2018_AUS_RED BU_PER_POST,2018_AUS_RED BU,PER,post_quali,14.6647,1.0437,0.068191
2018_AUS_RED BU_HAM_PRE,2018_AUS_RED BU,HAM,pre,23.653,1.1099,0.042278
2018_AUS_RED BU_HAM_POST,2018_AUS_RED BU,HAM,post_quali,24.5447,1.0437,0.040742
2018_AUS_RED BU_RUS_PRE,2018_AUS_RED BU,RUS,pre,20.829,1.1099,0.04801
2018_AUS_RED BU_RUS_POST,2018_AUS_RED BU,RUS,post_quali,22.4401,1.0437,0.044563
2018_AUS_RED BU_LEC_PRE,2018_AUS_RED BU,LEC,pre,31.5199,1.1099,0.031726
2018_AUS_RED BU_LEC_POST,2018_AUS_RED BU,LEC,post_quali,34.8177,1.0437,0.028721
2018_AUS_RED BU_SAI_PRE,2018_AUS_RED BU,SAI,pre,19.1961,1.1099,0.052094
2018_AUS_RED BU_SAI_POST,2018_AUS_RED BU,SAI,post_quali,20.9407,1.0437,0.047754
2018_AUS_RED BU_NOR_PRE,2018_AUS_RED BU,NOR,pre,27.9869,1.1099,0.035731
2018_AUS_RED BU_NOR_POST,2018_AUS_RED BU,NOR,post_quali,32.0965,1.0437,0.031156
2018_AUS_RED BU_PIA_PRE,2018_AUS_RED BU,PIA,pre,22.3474,1.1099,0.044748
2018_AUS_RED BU_PIA_POST,2018_AUS_RED BU,PIA,post_quali,22.0585,1.0437,0.045334
2018_AUS_RED BU_ALO_PRE,2018_AUS_RED BU,ALO,pre,14.1733,1.1099,0.070555
2018_AUS_RED BU_ALO_POST,2018_AUS_RED BU,ALO,post_quali,13.308,1.0437,0.075143
2018_AUS_RED BU_STR_PRE,2018_AUS_RED BU,STR,pre,15.1343,1.1099,0.066075
2018_AUS_RED BU_STR_POST,2018_AUS_RED BU,STR,post_quali,13.6872,1.0437,0.073061
2018_AUS_RED BU_OCO_PRE,2018_AUS_RED BU,OCO,pre,28.1167,1.1099,0.035566
2018_AUS_RED BU_OCO_POST,2018_AUS_RED BU,OCO,post_quali,29.915,1.0437,0.033428
2018_AUS_RED BU_GAS_PRE,2018_AUS_RED BU,GAS,pre,18.2183,1.1099,0.05489
2018_AUS_RED BU_GAS_POST,2018_AUS_RED BU,GAS,post_quali,18.6703,1.0437,0.053561
2018_AUS_RED BU_ALB_PRE,2018_AUS_RED BU,ALB,pre,23.5217,1.1099,0.042514
2018_AUS_RED BU_ALB_POST,2018_AUS_RED BU,ALB,post_quali,26.3089,1.0437,0.03801
2018_AUS_RED BU_TSU_PRE,2018_AUS_RED BU,TSU,pre,39.9616,1.1099,0.025024
2018_AUS_RED BU_TSU_POST,2018_AUS_RED BU,TSU,post_quali,45.2591,1.0437,0.022095
2018_AUS_RED BU_HUL_PRE,2018_AUS_RED BU,HUL,pre,25.4673,1.1099,0.039266
2018_AUS_RED BU_HUL_POST,2018_AUS_RED BU,HUL,post_quali,25.7752,1.0437,0.038797
2018_AUS_RED BU_BOT_PRE,2018_AUS_RED BU,BOT,pre,18.3318,1.1099,0.05455
2018_AUS_RED BU_BOT_POST,2018_AUS_RED BU,BOT,post_quali,17.8702,1.0437,0.055959
2018_AUS_RED BU_MAG_PRE,2018_AUS_RED BU,MAG,pre,11.9837,1.1099,0.083447
2018_AUS_RED BU_MAG_POST,2018_AUS_RED BU,MAG,post_quali,11.1121,1.0437,0.089992
2018_AUS_RED BU_ZHO_PRE,2018_AUS_RED BU,ZHO,pre,18.0558,1.1099,0.055384
2018_AUS_RED BU_ZHO_POST,2018_AUS_RED BU,ZHO,post_quali,16.5349,1.0437,0.060478
2018_AUS_RED BU_SAR_PRE,2018_AUS_RED BU,SAR,pre,20.8642,1.1099,0.047929
2018_AUS_RED BU_SAR_POST,2018_AUS_RED BU,SAR,post_quali,21.9231,1.0437,0.045614
2018_AUS_RED BU_LAW_PRE,2018_AUS_RED BU,LAW,pre,18.5518,1.1099,0.053903
2018_AUS_RED BU_LAW_POST,2018_AUS_RED BU,LAW,post_quali,18.5429,1.0437,0.053929
2018_AZE_BAKU_VER_PRE,2018_AZE_BAKU,VER,pre,17.3331,1.0635,0.057693
2018_AZE_BAKU_VER_POST,2018_AZE_BAKU,VER,post_quali,16.5396,1.0367,0.060461
2018_AZE_BAKU_PER_PRE,2018_AZE_BAKU,PER,pre,15.7642,1.0635,0.063435
2018_AZE_BAKU_PER_POST,2018_AZE_BAKU,PER,post_quali,14.4888,1.0367,0.069019
2018_AZE_BAKU_HAM_PRE,2018_AZE_BAKU,HAM,pre,24.2848,1.0635,0.041178
2018_AZE_BAKU_HAM_POST,2018_AZE_BAKU,HAM,post_quali,26.5887,1.0367,0.03761
2018_AZE_BAKU_RUS_PRE,2018_AZE_BAKU,RUS,pre,20.7607,1.0635,0.048168
2018_AZE_BAKU_RUS_POST,2018_AZE_BAKU,RUS,post_quali,21.0877,1.0367,0.047421
2018_AZE_BAKU_LEC_PRE,2018_AZE_BAKU,LEC,pre,34.0113,1.0635,0.029402
2018_AZE_BAKU_LEC_POST,2018_AZE_BAKU,LEC,post_quali,38.6608,1.0367,0.025866
2018_AZE_BAKU_SAI_PRE,2018_AZE_BAKU,SAI,pre,21.1296,1.0635,0.047327
2018_AZE_BAKU_SAI_POST,2018_AZE_BAKU,SAI,post_quali,22.8467,1.0367,0.04377
2018_AZE_BAKU_NOR_PRE,2018_AZE_BAKU,NOR,pre,27.7855,1.0635,0.03599
2018_AZE_BAKU_NOR_POST,2018_AZE_BAKU,NOR,post_quali,28.9377,1.0367,0.034557
2018_AZE_BAKU_PIA_PRE,2018_AZE_BAKU,PIA,pre,20.3397,1.0635,0.049165
2018_AZE_BAKU_PIA_POST,2018_AZE_BAKU,PIA,post_quali,20.9201,1.0367,0.047801
2018_AZE_BAKU_ALO_PRE,2018_AZE_BAKU,ALO,pre,12.5298,1.0635,0.07981
2018_AZE_BAKU_ALO_POST,2018_AZE_BAKU,ALO,post_quali,11.3731,1.0367,0.087927
2018_AZE_BAKU_STR_PRE,2018_AZE_BAKU,STR,pre,13.0039,1.0635,0.0769
2018_AZE_BAKU_STR_POST,2018_AZE_BAKU,STR,post_quali,12.7226,1.0367,0.0786
