pit_id,entry_id,lap,stint_from,stint_to,stationary_time_s,errors,error_time_s
2018_AUS_RED BU_VER_01,2018_AUS_RED BU_VER,14,M,S,23.913,False,0.0
2018_AUS_RED BU_VER_02,2018_AUS_RED BU_VER,60,H,M,20.504,False,0.0
2018_AUS_RED BU_PER_01,2018_AUS_RED BU_PER,14,M,H,22.567,False,0.0
2018_AUS_RED BU_PER_02,2018_AUS_RED BU_PER,60,M,H,15.945,False,0.0
2018_AUS_RED BU_HAM_01,2018_AUS_RED BU_HAM,14,H,S,13.371,False,0.0
2018_AUS_RED BU_HAM_02,2018_AUS_RED BU_HAM,60,H,S,18.29,False,0.0
2018_AUS_RED BU_RUS_01,2018_AUS_RED BU_RUS,14,H,M,29.524,True,7.691
2018_AUS_RED BU_RUS_02,2018_AUS_RED BU_RUS,60,S,S,18.116,False,0.0
2018_AUS_RED BU_LEC_01,2018_AUS_RED BU_LEC,14,H,S,17.14,False,0.0
2018_AUS_RED BU_LEC_02,2018_AUS_RED BU_LEC,60,S,S,15.525,False,0.0
2018_AUS_RED BU_SAI_01,2018_AUS_RED BU_SAI,14,M,H,14.675,False,0.0
2018_AUS_RED BU_SAI_02,2018_AUS_RED BU_SAI,60,H,M,18.855,False,0.0
2018_AUS_RED BU_NOR_01,2018_AUS_RED BU_NOR,14,S,S,14.88,False,0.0
2018_AUS_RED BU_NOR_02,2018_AUS_RED BU_NOR,37,M,H,20.024,False,0.0
2018_AUS_RED BU_NOR_03,2018_AUS_RED BU_NOR,60,M,H,16.721,False,0.0
2018_AUS_RED BU_PIA_01,2018_AUS_RED BU_PIA,14,S,H,16.548,False,0.0
2018_AUS_RED BU_PIA_02,2018_AUS_RED BU_PIA,37,M,H,16.108,False,0.0
2018_AUS_RED BU_PIA_03,2018_AUS_RED BU_PIA,60,S,S,20.179,False,0.0
2018_AUS_RED BU_ALO_01,2018_AUS_RED BU_ALO,14,H,M,19.163,False,0.0
2018_AUS_RED BU_STR_01,2018_AUS_RED BU_STR,14,S,M,16.452,False,0.0
2018_AUS_RED BU_STR_02,2018_AUS_RED BU_STR,60,H,S,21.057,False,0.0
2018_AUS_RED BU_OCO_01,2018_AUS_RED BU_OCO,14,S,M,21.162,False,0.0
2018_AUS_RED BU_OCO_02,2018_AUS_RED BU_OCO,60,S,S,21.808,False,0.0
2018_AUS_RED BU_GAS_01,2018_AUS_RED BU_GAS,14,S,H,23.098,True,5.157
2018_AUS_RED BU_GAS_02,2018_AUS_RED BU_GAS,60,M,S,20.615,False,0.0
2018_AUS_RED BU_ALB_01,2018_AUS_RED BU_ALB,14,H,H,22.049,False,0.0
2018_AUS_RED BU_ALB_02,2018_AUS_RED BU_ALB,37,S,H,15.76,False,0.0
2018_AUS_RED BU_ALB_03,2018_AUS_RED BU_ALB,60,H,H,14.878,False,0.0
2018_AUS_RED BU_TSU_01,2018_AUS_RED BU_TSU,14,S,H,16.076,False,0.0
