entry_id,race_id,season_id,round,driver_id,constructor_id,grid,quali_rank,grid_penalty,finish_position,classified,dnf,dnf_reason,points,time_gap_s,pit_stops,pit_time_total_s,penalties_s,sc_laps_behind,tyre_strategy,incidents,rain_share,street,odds_pre,odds_post_quali,ovr_pre,ovr_post,implied_p_pre,implied_p_post,hazard_lambda_pre,hazard_lambda_post,driver_form_z,constructor_form_z,driver_ability_true,constructor_strength_true,race_noise_true
2018_AUS_RED BU_ALB,2018_AUS_RED BU,2018,1,ALB,WIL,18,19,0,17,True,False,,0.0,4739.885,3,52.687,0.0,4,H-H,0,0.0,False,23.5217,26.3089,1.1099,1.0437,0.042514,0.03801,-3.893091,-4.038958,-1.4109515269638033,-0.25778536087028114,1.252346287096368,0.4204693063297035,0.0711840976063306
2018_AUS_RED BU_ALO,2018_AUS_RED BU,2018,1,ALO,AST,4,4,0,5,True,False,,10.0,119.722,1,19.163,0.0,4,M-H,0,0.0,False,14.1733,13.308,1.1099,1.0437,0.070555,0.075143,-3.222749,-3.137813,-0.014629099693905223,-0.0468864857554287,1.148021747865582,1.299775840914161,0.0919477206227509
2018_AUS_RED BU_BOT,2018_AUS_RED BU,2018,1,BOT,HAA,7,8,0,6,True,False,,8.0,221.482,1,18.482,0.0,4,M-H,0,0.0,False,18.3318,17.8702,1.1099,1.0437,0.05455,0.055959,-3.565681,-3.531941,1.4714259545157697,1.277853892062024,1.3048142323762897,0.8741077775169676,-0.38719204584287786
2018_AUS_RED BU_GAS,2018_AUS_RED BU,2018,1,GAS,ALP,11,12,0,10,True,False,,1.0,916.312,2,43.713,0.0,4,S-M,1,0.0,False,18.2183,18.6703,1.1099,1.0437,0.05489,0.053561,-3.557468,-3.589849,0.2063180755592099,1.5118308479718305,1.5190637111678555,0.6045868529573633,0.16239465140659412
2018_AUS_RED BU_HAM,2018_AUS_RED BU,2018,1,HAM,MER,12,13,0,11,True,False,,0.0,962.604,2,31.661,0.0,4,H-H,1,0.0,False,23.653,24.5447,1.1099,1.0437,0.042278,0.040742,-3.900361,-3.948613,0.2883245878539758,-0.04202975996433255,1.497364968928916,0.4640419441962984,0.08077971569288414
2018_AUS_RED BU_HUL,2018_AUS_RED BU,2018,1,HUL,HAA,10,10,0,12,True,False,,0.0,977.964,2,35.666,0.0,4,S-M,1,0.0,False,25.4673,25.7752,1.1099,1.0437,0.039266,0.038797,-3.996687,-4.012296,-0.5290444638989125,0.35612321582056344,1.0084739763133528,0.8741077775169676,0.2747021633915802
2018_AUS_RED BU_LAW,2018_AUS_RED BU,2018,1,LAW,SAU,9,6,3,8,True,False,,4.0,622.612,2,35.775,0.0,4,S-M,2,0.0,False,18.5518,18.5429,1.1099,1.0437,0.053903,0.053929,-3.581461,-3.5808,-2.406009143789777,-0.45592759769182534,0.5853698775295586,1.3209755796782057,-0.022660661912874695
2018_AUS_RED BU_LEC,2018_AUS_RED BU,2018,1,LEC,FER,17,17,0,18,True,False,,0.0,5152.266,2,32.665,0.0,4,S-M,0,0.0,False,31.5199,34.8177,1.1099,1.0437,0.031726,0.028721,-4.272991,-4.401238,-0.800425161420925,-2.0426264645047474,0.4510459836090249,0.9542816505950716,0.0005842951751728014
2018_AUS_RED BU_MAG,2018_AUS_RED BU,2018,1,MAG,RBM,3,3,0,1,True,False,,25.0,0.0,1,13.546,0.0,4,H-H,0,0.0,False,11.9837,11.1121,1.1099,1.0437,0.083447,0.089992,-2.995505,-2.892172,1.4653383924522256,1.9811893572537809,1.2134266771137476,1.1904289394780567,-0.07141692383868735
2018_AUS_RED BU_NOR,2018_AUS_RED BU,2018,1,NOR,MCL,20,18,3,20,False,True,crash,0.0,,3,51.625,5.0,4,M-H,1,0.0,False,27.9869,32.0965,1.1099,1.0437,0.035731,0.031156,-4.1192,-4.296365,-2.967190621023094,-3.1666063942555183,0.6106147414143321,0.8639292471437414,0.4836768111778925
