driver_id,driver_eff_cum_mean,driver_name
HUL,0.7154174426809241,Nico Hülkenberg
STR,0.7013106153104387,Lance Stroll
ALO,0.6344393820288518,Fernando Alonso
BOT,0.6018757906593311,Valtteri Bottas
LAW,0.5860146365056224,Liam Lawson
SAI,0.5847852299063907,Carlos Sainz
ALB,0.5660788284580759,Alexander Albon
NOR,0.5632066076549831,Lando Norris
SAR,0.560213709532711,Logan Sargeant
ZHO,0.550472335913222,Zhou Guanyu
HAM,0.5354660813685902,Lewis Hamilton
RUS,0.5280179090817175,George Russell
MAG,0.48373563240856476,Kevin Magnussen
PIA,0.44654169823524564,Oscar Piastri
GAS,0.4263928744525809,Pierre Gasly
OCO,0.3563262097714959,Esteban Ocon
MSC,0.3467742418207929,Mick Schumacher
TSU,0.34163998587401395,Yuki Tsunoda
DRI,0.2997672513849489,Daniel Ricciardo
RIC,0.2504745968671036,Robert Kubica
PER,0.1971680443964319,Sergio Pérez
DEV,0.15548250754131862,Nyck de Vries
VER,0.12723044511540388,Max Verstappen
LEC,0.09995365906401778,Charles Leclerc
