driver_id,driver_name,street,wet,outperforming_car,driver_share_mean,starts
ALB,Alexander Albon,0,0,0.7065105165833174,0.8805010068404313,81
ALB,Alexander Albon,0,1,0.6479187338786146,0.8898168661605457,32
ALB,Alexander Albon,1,0,0.6406994458121038,0.8797436535029738,18
ALB,Alexander Albon,1,1,0.6611882096371473,0.8955948102693687,20
ALO,Fernando Alonso,0,0,0.4580427190771565,0.7436945837050225,78
ALO,Fernando Alonso,0,1,0.3820223342979084,0.699707453296791,34
ALO,Fernando Alonso,1,0,0.40773959487179545,0.7121998787650652,19
ALO,Fernando Alonso,1,1,0.4448854214882648,0.730520020651696,26
BOT,Valtteri Bottas,0,0,0.565105100397984,0.7641992753705668,78
BOT,Valtteri Bottas,0,1,0.4434115221421258,0.7211847923885013,35
BOT,Valtteri Bottas,1,0,0.5070861602662909,0.7469270009837631,18
BOT,Valtteri Bottas,1,1,0.5575722610404976,0.7373350657704704,25
DEV,Nyck de Vries,0,0,-0.20281842486832735,0.31141708944107915,6
DEV,Nyck de Vries,0,1,-0.18340727102092805,0.40236594878128623,4
DEV,Nyck de Vries,1,0,-0.42138920293949467,0.0044842318450947,1
DEV,Nyck de Vries,1,1,-0.19375975970661372,0.4176210534810546,5
DRI,Daniel Ricciardo,0,0,0.01667041787790069,0.4581041292943104,6
DRI,Daniel Ricciardo,0,1,0.5676399413594234,0.6358546280161171,2
DRI,Daniel Ricciardo,1,0,-0.03491887554563145,0.4989832726599575,2
DRI,Daniel Ricciardo,1,1,0.04424988436340066,0.5493065100235817,4
GAS,Pierre Gasly,0,0,-0.06276383429840554,0.4665025538681047,82
GAS,Pierre Gasly,0,1,-0.04466044452130487,0.4777868782694933,35
GAS,Pierre Gasly,1,0,-0.05181318774321708,0.47249672522356695,19
GAS,Pierre Gasly,1,1,-0.045365028538475516,0.48012981545483085,18
HAM,Lewis Hamilton,0,0,0.3003124663856438,0.6522739765344643,74
HAM,Lewis Hamilton,0,1,0.18738994190089275,0.5928812637554609,35
HAM,Lewis Hamilton,1,0,0.2439328988919677,0.6207550182680381,20
HAM,Lewis Hamilton,1,1,0.24794046606688203,0.6252200127665456,23
HUL,Nico Hülkenberg,0,0,0.6677949495629899,0.7854342272935619,78
HUL,Nico Hülkenberg,0,1,0.5478486470077618,0.7495756792593065,38
HUL,Nico Hülkenberg,1,0,0.6052113846075652,0.7631855033273608,20
HUL,Nico Hülkenberg,1,1,0.7264192993983565,0.7878743595366599,23
LAW,Liam Lawson,0,0,0.4132663655368131,0.7084243881676338,80
LAW,Liam Lawson,0,1,0.31956567109745093,0.6554252285428286,38
LAW,Liam Lawson,1,0,0.3338383019402904,0.6703697800030162,19
LAW,Liam Lawson,1,1,0.40353454239722136,0.6965950376152553,24
LEC,Charles Leclerc,0,0,-0.14375356326759448,0.3740941991458933,82
LEC,Charles Leclerc,0,1,-0.20217806445724085,0.3692497434069735,36
LEC,Charles Leclerc,1,0,-0.1210993679903874,0.38081397696720765,18
LEC,Charles Leclerc,1,1,-0.14056355273871132,0.3878535652402647,21
MAG,Kevin Magnussen,0,0,0.4935097254962154,0.7986575904285687,80
MAG,Kevin Magnussen,0,1,0.3570376838639464,0.7234225561986872,38
MAG,Kevin Magnussen,1,0,0.40870109817958816,0.7511170236092305,19
MAG,Kevin Magnussen,1,1,0.4541115635383374,0.7646784598349263,26
MSC,Mick Schumacher,0,0,0.24479622545602892,0.6666052845192427,4
MSC,Mick Schumacher,0,1,-0.0277974291896807,0.4485836522723783,2
MSC,Mick Schumacher,1,0,-0.2647947669075059,0.20684387110441435,2
MSC,Mick Schumacher,1,1,0.03048565748770048,0.5072450825547867,5
NOR,Lando Norris,0,0,0.3227560509538602,0.6736090585689254,79
NOR,Lando Norris,0,1,0.2645408880937435,0.6348091010177986,36
NOR,Lando Norris,1,0,0.28394695616001914,0.6474139534206861,19
NOR,Lando Norris,1,1,0.28819462268324764,0.6382802806314349,26
OCO,Esteban Ocon,0,0,-0.10177803820324727,0.43799901065951463,80
OCO,Esteban Ocon,0,1,-0.1247194194830245,0.42094764157150016,35
OCO,Esteban Ocon,1,0,-0.10018707738331847,0.44101517563335196,18
OCO,Esteban Ocon,1,1,-0.07450922512059158,0.44241499595001477,23
PER,Sergio Pérez,0,0,-0.676517916146113,0.17041403657466214,83
PER,Sergio Pérez,0,1,-0.5705910456413911,0.22003946359622603,35
PER,Sergio Pérez,1,0,-0.6846589881895156,0.1605806122986937,17
PER,Sergio Pérez,1,1,-0.6890968328275918,0.16271362929365527,24
PIA,Oscar Piastri,0,0,0.15141522900518006,0.6045602443617306,82
PIA,Oscar Piastri,0,1,0.12859435241358408,0.5944767560779455,36
PIA,Oscar Piastri,1,0,0.16782909371766722,0.6220129630071101,18
PIA,Oscar Piastri,1,1,0.1397239873153169,0.596047955972557,23
RIC,Robert Kubica,0,0,-0.03784635607694753,0.4995607021578917,5
RIC,Robert Kubica,0,1,-0.15194102596605225,0.32648055305213786,4
RIC,Robert Kubica,1,0,-0.22425959542374685,0.379562087981564,2
RIC,Robert Kubica,1,1,0.03266248162174818,0.5863763948230788,4
RUS,George Russell,0,0,0.2508182671208655,0.6361721229922164,82
RUS,George Russell,0,1,0.1629793944044887,0.5888709775481368,35
RUS,George Russell,1,0,0.24732598762286073,0.636186006008911,16
RUS,George Russell,1,1,0.25950215210301214,0.6439064089854951,24
SAI,Carlos Sainz,0,0,0.43141844615258224,0.7425591107695527,85
SAI,Carlos Sainz,0,1,0.34132121730999176,0.6944026646356141,36
SAI,Carlos Sainz,1,0,0.46639910885266306,0.7708947148397116,19
SAI,Carlos Sainz,1,1,0.3855472204669423,0.7357700460719334,23
SAR,Logan Sargeant,0,0,0.4044231594125325,0.7071623296254079,83
SAR,Logan Sargeant,0,1,0.2918411846955902,0.644464337010621,30
SAR,Logan Sargeant,1,0,0.3015675591209739,0.6545506985092847,18
SAR,Logan Sargeant,1,1,0.3974003191453612,0.7015806206400196,24
STR,Lance Stroll,0,0,0.5023143442251152,0.75020895736225,83
STR,Lance Stroll,0,1,0.48634837092720135,0.7421670855247282,35
STR,Lance Stroll,1,0,0.4963260045131052,0.7409857928102812,17
STR,Lance Stroll,1,1,0.4858330649420941,0.7470207112234688,25
TSU,Yuki Tsunoda,0,0,0.6528122738002897,0.7922948204216876,81
TSU,Yuki Tsunoda,0,1,0.4686101847022112,0.6986861007137976,36
TSU,Yuki Tsunoda,1,0,0.5956603320031276,0.7711684057821091,18
TSU,Yuki Tsunoda,1,1,0.6287006882109819,0.82507628682564,23
VER,Max Verstappen,0,0,-0.7530538100587161,0.11105132978415752,82
VER,Max Verstappen,0,1,-0.6530366940561999,0.1653277583316879,36
VER,Max Verstappen,1,0,-0.7669201621743751,0.10373168022152648,17
VER,Max Verstappen,1,1,-0.7147758421505593,0.13897158577927962,23
ZHO,Zhou Guanyu,0,0,0.5436593360990556,0.7762512871307149,82
ZHO,Zhou Guanyu,0,1,0.4418752279217936,0.7414343368640962,37
ZHO,Zhou Guanyu,1,0,0.4619391028145595,0.7327366707027869,16
ZHO,Zhou Guanyu,1,1,0.5136335877961069,0.7651952113927707,26
