driver_id,driver_eff_cum_mean,driver_name
STR,1.100161767487815,Lance Stroll
HUL,1.016768432437379,Nico Hülkenberg
ALO,0.9555413790064534,Fernando Alonso
ALB,0.8683988177042495,Alexander Albon
BOT,0.8261815531504547,Valtteri Bottas
SAI,0.7413982660428713,Carlos Sainz
ZHO,0.7409215783934386,Zhou Guanyu
TSU,0.730162071840775,Yuki Tsunoda
LAW,0.711791357054472,Liam Lawson
MAG,0.683282978924717,Kevin Magnussen
SAR,0.6623002560723533,Logan Sargeant
HAM,0.6341438999555801,Lewis Hamilton
RUS,0.6211037802146048,George Russell
NOR,0.569672536714716,Lando Norris
PIA,0.41411057791541145,Oscar Piastri
MSC,0.3492129545274964,Mick Schumacher
DRI,0.3476199685031334,Daniel Ricciardo
RIC,0.2791885732945018,Robert Kubica
PER,0.218378567339348,Sergio Pérez
GAS,0.20240639366767782,Pierre Gasly
LEC,0.19654930237252052,Charles Leclerc
DEV,0.16189520610052371,Nyck de Vries
OCO,0.16082423162879264,Esteban Ocon
VER,0.05025733586193182,Max Verstappen
