driver_id,driver_eff_cum_mean,driver_name
STR,1.2030742477496135,Lance Stroll
ALO,1.172641462224306,Fernando Alonso
ALB,0.7423665142968218,Alexander Albon
TSU,0.6872335862366282,Yuki Tsunoda
LAW,0.6589383124215135,Liam Lawson
NOR,0.653077003367553,Lando Norris
SAR,0.6306739175070999,Logan Sargeant
RUS,0.606850576685572,George Russell
HAM,0.5968942668514652,Lewis Hamilton
SAI,0.5677547786825298,Carlos Sainz
GAS,0.4803236197068549,Pierre Gasly
HUL,0.46589767280478417,Nico Hülkenberg
MSC,0.46015069787955964,Mick Schumacher
PIA,0.4508709964768225,Oscar Piastri
PER,0.4495645762619118,Sergio Pérez
BOT,0.44808126487381184,Valtteri Bottas
OCO,0.44542947331220245,Esteban Ocon
ZHO,0.43876713183312516,Zhou Guanyu
VER,0.38792373667059366,Max Verstappen
MAG,0.380303925811463,Kevin Magnussen
RIC,0.31441047292911556,Robert Kubica
DRI,0.29309330473734085,Daniel Ricciardo
DEV,0.1920281714192143,Nyck de Vries
LEC,-0.07710460294783128,Charles Leclerc
