driver_id,driver_eff_cum_mean,driver_name
STR,1.483806695916454,Lance Stroll
ALO,1.3476115524490817,Fernando Alonso
ALB,0.873585272583943,Alexander Albon
TSU,0.8197734304359374,Yuki Tsunoda
LAW,0.8082328667939966,Liam Lawson
SAR,0.7009591856211889,Logan Sargeant
RUS,0.6701802073763539,George Russell
HAM,0.6561515402330755,Lewis Hamilton
NOR,0.6371848361260101,Lando Norris
SAI,0.6197124028001446,Carlos Sainz
PER,0.5466541769458751,Sergio Pérez
ZHO,0.5318308321480951,Zhou Guanyu
GAS,0.511968496401454,Pierre Gasly
MAG,0.4890377707285501,Kevin Magnussen
OCO,0.48166408939796557,Esteban Ocon
HUL,0.4599880967076609,Nico Hülkenberg
MSC,0.4214974441673951,Mick Schumacher
VER,0.4164187492583764,Max Verstappen
PIA,0.4140821802968314,Oscar Piastri
BOT,0.39780007001490364,Valtteri Bottas
RIC,0.2656402254715143,Robert Kubica
DRI,0.2641700578999847,Daniel Ricciardo
DEV,0.19807450125393292,Nyck de Vries
LEC,-0.0012129903925863546,Charles Leclerc
