driver_id,driver_eff_cum_mean,driver_name
STR,1.4672722476465272,Lance Stroll
ALO,1.3303390460105824,Fernando Alonso
ALB,0.8790150976282648,Alexander Albon
TSU,0.8230696120175008,Yuki Tsunoda
LAW,0.8025345151692136,Liam Lawson
SAR,0.6956378930319794,Logan Sargeant
RUS,0.6666573654733342,George Russell
HAM,0.6540844166642303,Lewis Hamilton
NOR,0.642510291859,Lando Norris
SAI,0.6157558590468263,Carlos Sainz
PER,0.5528504386268577,Sergio Pérez
ZHO,0.547362766024838,Zhou Guanyu
GAS,0.511039908599783,Pierre Gasly
MAG,0.5027625959757551,Kevin Magnussen
OCO,0.4791746863378543,Esteban Ocon
HUL,0.46272309247367605,Nico Hülkenberg
VER,0.4238659571943299,Max Verstappen
MSC,0.4196608470748516,Mick Schumacher
PIA,0.41945853928692967,Oscar Piastri
BOT,0.4001425924485899,Valtteri Bottas
DRI,0.26457342317438787,Daniel Ricciardo
RIC,0.2637976718753334,Robert Kubica
DEV,0.20187871608332736,Nyck de Vries
LEC,-0.004474123175345806,Charles Leclerc
