driver_id,driver_eff_cum_mean,driver_name
SAI,0.2660929542731995,Carlos Sainz
TSU,0.13393387862153114,Yuki Tsunoda
NOR,0.09976654157088988,Lando Norris
BOT,0.062455508368192324,Valtteri Bottas
MAG,0.059615021688506714,Kevin Magnussen
RUS,0.05259789712746058,George Russell
SAR,0.0497933041553573,Logan Sargeant
RIC,0.04970915069305554,Robert Kubica
ZHO,0.0450703575180953,Zhou Guanyu
OCO,0.03783767896897317,Esteban Ocon
VER,0.032726571699757845,Max Verstappen
HAM,0.02716537314956246,Lewis Hamilton
MSC,0.01135832408667492,Mick Schumacher
DEV,0.007350624806114551,Nyck de Vries
STR,-0.00591785223895828,Lance Stroll
HUL,-0.014943222990017036,Nico Hülkenberg
ALO,-0.016167145045010784,Fernando Alonso
LAW,-0.023890396583826506,Liam Lawson
GAS,-0.023928091514298186,Pierre Gasly
PIA,-0.04400167897682004,Oscar Piastri
ALB,-0.06495093391060841,Alexander Albon
PER,-0.0753124960060897,Sergio Pérez
DRI,-0.3242216149449512,Daniel Ricciardo
LEC,-0.5568869669535598,Charles Leclerc
