driver_id,driver_eff_cum_mean,driver_name
STR,1.0847485820757037,Lance Stroll
HUL,0.9844744644459339,Nico Hülkenberg
ALO,0.9396474954064472,Fernando Alonso
ALB,0.8659882808876801,Alexander Albon
BOT,0.7945501329703311,Valtteri Bottas
SAI,0.732791409669406,Carlos Sainz
TSU,0.7284328572334993,Yuki Tsunoda
ZHO,0.728261691904201,Zhou Guanyu
LAW,0.6807607088315447,Liam Lawson
MAG,0.6701197301009202,Kevin Magnussen
SAR,0.632785695706482,Logan Sargeant
HAM,0.607984927335106,Lewis Hamilton
RUS,0.5963567626421901,George Russell
NOR,0.5440268464162658,Lando Norris
PIA,0.38783106869909184,Oscar Piastri
DRI,0.32702691878997464,Daniel Ricciardo
MSC,0.31628343947809856,Mick Schumacher
RIC,0.26932144999831514,Robert Kubica
PER,0.1998357873464008,Sergio Pérez
LEC,0.18883853849996568,Charles Leclerc
GAS,0.17516801786276387,Pierre Gasly
DEV,0.13896443755202245,Nyck de Vries
OCO,0.13453313559434008,Esteban Ocon
VER,0.03152694614084094,Max Verstappen
