driver_id,driver_eff_cum_mean,driver_name
STR,1.1043016037668782,Lance Stroll
HUL,1.0320668585533626,Nico Hülkenberg
ALO,0.9596148848724938,Fernando Alonso
ALB,0.8701581277782247,Alexander Albon
BOT,0.8413365470088211,Valtteri Bottas
SAI,0.7454478308880644,Carlos Sainz
ZHO,0.7448467840935443,Zhou Guanyu
TSU,0.7319136600237245,Yuki Tsunoda
LAW,0.7277256458827319,Liam Lawson
MAG,0.6871473808323579,Kevin Magnussen
SAR,0.6782591641707322,Logan Sargeant
HAM,0.6423778742753655,Lewis Hamilton
RUS,0.6293738509804212,George Russell
NOR,0.5823647434764297,Lando Norris
PIA,0.4270823607823171,Oscar Piastri
MSC,0.35583661814072165,Mick Schumacher
DRI,0.3535456795114723,Daniel Ricciardo
RIC,0.2838414180730988,Robert Kubica
PER,0.22718675532505114,Sergio Pérez
GAS,0.21319835996498052,Pierre Gasly
LEC,0.20052899457395038,Charles Leclerc
OCO,0.17141347030184043,Esteban Ocon
DEV,0.1684114239326624,Nyck de Vries
VER,0.059057974743756264,Max Verstappen
