driver_id,driver_eff_cum_mean,driver_name
STR,0.9855077124170679,Lance Stroll
HUL,0.8524608926874371,Nico Hülkenberg
ALO,0.8364638956278583,Fernando Alonso
ALB,0.7506818873897886,Alexander Albon
BOT,0.6651625947204468,Valtteri Bottas
SAI,0.6343351648571071,Carlos Sainz
LAW,0.6295470727795057,Liam Lawson
ZHO,0.6065104308121047,Zhou Guanyu
RUS,0.5770106372993319,George Russell
SAR,0.5764621484326053,Logan Sargeant
MAG,0.5592723147755214,Kevin Magnussen
HAM,0.557295987608527,Lewis Hamilton
NOR,0.5442949808581812,Lando Norris
TSU,0.4468475147123065,Yuki Tsunoda
PIA,0.4420899978406968,Oscar Piastri
MSC,0.3112236001482399,Mick Schumacher
DRI,0.28369304049302774,Daniel Ricciardo
PER,0.2557192038235223,Sergio Pérez
GAS,0.24624210187437498,Pierre Gasly
RIC,0.2446144238628307,Robert Kubica
OCO,0.1771188234726099,Esteban Ocon
LEC,0.1768634342209033,Charles Leclerc
DEV,0.1304128497910575,Nyck de Vries
VER,0.09875867248448955,Max Verstappen
