driver_id,driver_eff_cum_mean,driver_name
STR,1.0117491323748344,Lance Stroll
ALO,0.974634155471917,Fernando Alonso
ALB,0.6405129981404364,Alexander Albon
LAW,0.5999003685883019,Liam Lawson
NOR,0.5980423312251746,Lando Norris
RUS,0.5553098372938263,George Russell
SAR,0.5552869507229434,Logan Sargeant
SAI,0.5447450975960754,Carlos Sainz
HAM,0.520712785384941,Lewis Hamilton
GAS,0.4800657866838441,Pierre Gasly
PER,0.4644918655694533,Sergio Pérez
PIA,0.4322271287615606,Oscar Piastri
TSU,0.4264150911313625,Yuki Tsunoda
MSC,0.4222782639206054,Mick Schumacher
HUL,0.42132272676157795,Nico Hülkenberg
OCO,0.42107521215225974,Esteban Ocon
BOT,0.41856234142871046,Valtteri Bottas
ZHO,0.39464112862390366,Zhou Guanyu
VER,0.38959010843901476,Max Verstappen
MAG,0.3205199659230814,Kevin Magnussen
DRI,0.25841880554829133,Daniel Ricciardo
RIC,0.22986046822065007,Robert Kubica
DEV,0.08153351539628165,Nyck de Vries
LEC,-0.002588018092885896,Charles Leclerc
