driver_id,driver_eff_cum_mean,driver_name
STR,1.2135136359764513,Lance Stroll
ALO,1.0855932891275268,Fernando Alonso
ALB,0.7903852429297817,Alexander Albon
LAW,0.7297574209077005,Liam Lawson
RUS,0.6091499226053675,George Russell
SAR,0.5990680313771203,Logan Sargeant
SAI,0.5828338321357339,Carlos Sainz
NOR,0.5781306563566324,Lando Norris
HAM,0.5608708060630457,Lewis Hamilton
GAS,0.5471796978228235,Pierre Gasly
PER,0.5437203689095501,Sergio Pérez
TSU,0.5312275189411181,Yuki Tsunoda
ZHO,0.4838379379406642,Zhou Guanyu
OCO,0.48225411854406125,Esteban Ocon
MAG,0.4364957836096542,Kevin Magnussen
PIA,0.40609499943825883,Oscar Piastri
VER,0.4032094737189781,Max Verstappen
HUL,0.3924010669628354,Nico Hülkenberg
MSC,0.3921859874000449,Mick Schumacher
BOT,0.35654698324342277,Valtteri Bottas
DRI,0.22483015064130782,Daniel Ricciardo
RIC,0.21160969293843868,Robert Kubica
DEV,0.13852489585030098,Nyck de Vries
LEC,0.09288184401143346,Charles Leclerc
