driver_id,driver_eff_cum_mean,driver_name
STR,1.205765071727044,Lance Stroll
ALO,1.0768430852167865,Fernando Alonso
ALB,0.7983500899882952,Alexander Albon
LAW,0.7231186946856105,Liam Lawson
RUS,0.6020182938825277,George Russell
SAR,0.5938909074601859,Logan Sargeant
NOR,0.5854496099641904,Lando Norris
SAI,0.5774057264420172,Carlos Sainz
HAM,0.5546642085983503,Lewis Hamilton
PER,0.549662590381821,Sergio Pérez
GAS,0.544532721298242,Pierre Gasly
TSU,0.536032722872901,Yuki Tsunoda
ZHO,0.4959090465284432,Zhou Guanyu
OCO,0.4786981361033724,Esteban Ocon
MAG,0.44519954813690255,Kevin Magnussen
PIA,0.41246119767645223,Oscar Piastri
VER,0.4100458949044161,Max Verstappen
HUL,0.39693700601922116,Nico Hülkenberg
MSC,0.38863200055800035,Mick Schumacher
BOT,0.3607683725863989,Valtteri Bottas
DRI,0.22189682102286892,Daniel Ricciardo
RIC,0.20957559691168992,Robert Kubica
DEV,0.14137873074994375,Nyck de Vries
LEC,0.08820997774545038,Charles Leclerc
