driver_id,driver_eff_cum_mean,driver_name
STR,0.9900370159061646,Lance Stroll
HUL,0.8662488881590606,Nico Hülkenberg
ALO,0.8411820106151667,Fernando Alonso
ALB,0.7515454148359726,Alexander Albon
BOT,0.6783243588470195,Valtteri Bottas
LAW,0.6443733080040782,Liam Lawson
SAI,0.6364145231749847,Carlos Sainz
ZHO,0.6102743529794212,Zhou Guanyu
SAR,0.5901386827479127,Logan Sargeant
RUS,0.5857991262018165,George Russell
HAM,0.5670045597442185,Lewis Hamilton
MAG,0.5632493070257508,Kevin Magnussen
NOR,0.5542071050301689,Lando Norris
PIA,0.45236410887992495,Oscar Piastri
TSU,0.44730928813755116,Yuki Tsunoda
MSC,0.3250591942732852,Mick Schumacher
DRI,0.29052086683023587,Daniel Ricciardo
PER,0.2616892076315979,Sergio Pérez
GAS,0.25747330263684537,Pierre Gasly
RIC,0.24755850641310237,Robert Kubica
OCO,0.18761904440005597,Esteban Ocon
LEC,0.17847645442505874,Charles Leclerc
DEV,0.13904999035853793,Nyck de Vries
VER,0.10484502995034133,Max Verstappen
