driver_id,driver_eff_cum_mean,driver_name
STR,0.9892713891203199,Lance Stroll
HUL,0.8684020581089437,Nico Hülkenberg
ALO,0.8401164110749015,Fernando Alonso
ALB,0.7521162640633936,Alexander Albon
BOT,0.6809323151869261,Valtteri Bottas
LAW,0.6465851290131693,Liam Lawson
SAI,0.6380448421698077,Carlos Sainz
ZHO,0.61033160091714,Zhou Guanyu
SAR,0.5936453686235184,Logan Sargeant
RUS,0.5854044422208086,George Russell
HAM,0.565630132671932,Lewis Hamilton
MAG,0.5630024437237349,Kevin Magnussen
NOR,0.5574017441464802,Lando Norris
PIA,0.4556003840214339,Oscar Piastri
TSU,0.4482072196838079,Yuki Tsunoda
MSC,0.3173740907012296,Mick Schumacher
DRI,0.2891634548164154,Daniel Ricciardo
PER,0.26457691875475625,Sergio Pérez
GAS,0.2574568210492433,Pierre Gasly
RIC,0.2485770985424094,Robert Kubica
OCO,0.18805615046250437,Esteban Ocon
LEC,0.18042683198440518,Charles Leclerc
DEV,0.13633102477350895,Nyck de Vries
VER,0.10761497536590652,Max Verstappen
