driver_id,driver_eff_cum_mean,driver_name
STR,0.7863539898009255,Lance Stroll
SAI,0.6982874135767461,Carlos Sainz
LAW,0.6951571935804299,Liam Lawson
SAR,0.68538900027548,Logan Sargeant
ALO,0.6842804757508825,Fernando Alonso
GAS,0.6237059695801062,Pierre Gasly
HUL,0.5888398384748161,Nico Hülkenberg
OCO,0.5591403615180801,Esteban Ocon
BOT,0.5512011113474433,Valtteri Bottas
RUS,0.5150198875080462,George Russell
NOR,0.46286225422391364,Lando Norris
PER,0.4591061032445221,Sergio Pérez
HAM,0.4562064482754567,Lewis Hamilton
PIA,0.43296938939336577,Oscar Piastri
VER,0.4261892572146415,Max Verstappen
MSC,0.2979693254857238,Mick Schumacher
ALB,0.2900241585642035,Alexander Albon
DRI,0.2650203037136358,Daniel Ricciardo
RIC,0.24698350499981633,Robert Kubica
LEC,0.20628375654926037,Charles Leclerc
TSU,0.18556782540387612,Yuki Tsunoda
DEV,0.16381845077851478,Nyck de Vries
ZHO,0.05810827055206654,Zhou Guanyu
MAG,-0.07395667426523839,Kevin Magnussen
