constructor_id,constructor_name,team_strength,avg_pred_perf,starts
RBM,RB (Visa Cash App),0.7015157140491458,0.6925902122131791,123
RED,Red Bull Racing,0.47070078565167917,0.9656234467168721,123
MER,Mercedes-AMG Petronas,0.4196017808029381,0.9315302263678267,121
MCL,McLaren,0.3200602152334587,0.7523578555079078,123
ALP,Alpine,0.28333011487837845,0.8842758392262025,122
HAA,Haas F1 Team,0.2804876320984507,0.8893643364676769,123
SAU,Kick Sauber,0.22015747985155498,0.9718873084434404,123
FER,Ferrari,0.20017721653058354,0.6539863772173049,123
WIL,Williams,0.1538794149432429,0.3903076073242242,117
AST,Aston Martin,0.12044312004980122,0.9240998928719161,123
